Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,Snaps/GP,Slot Rate,OPP Share,Weight OPP,Weight OPP/GP,Pass Comp,Comp/GP,Pass ATT,PA/GP,Pass Yards,PY/GP,Pass TDs,TDs/GP,Pass INT,INT/GP,Comp %,Clean Pocket %,Deep Ball Comp %,TD Rate,Pass Yards/TD,TD:INT,Yards/ ATT,AY/A,Attempted Air Yards,ATT Air Yards/GP,Completed Air Yards,Comp Air Yards/GP,aDOT,QB Rating,Total QBR,CPOE,Rush ATT,Rush ATT/GP,Rush Yards,Rush YDs/GP,Rush TDs,Rush TDs/ GP,TD Rate,Rush YDs/TD,YPC,Evaded Tackles,ET/GP,Big Runs,Juke Rate,GL ATT,FUM,REC,REC/GP,Targets,Targets/GP,Target Share,RZ Targets,Catch Rate,Routes,Routes/GP,Yards/ Route,REC Yards,REC YDs/GP,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,REC TDs/GP,TD Rate,REC YDs/TD,YDs/TM Pass ATT,Air Yards,Air Yards/GP,Air Yards MS,WOPR,RACR,YAC,YAC/GP,Touches,Touches/GP,Scrim Yards,Scrim Yards/GP,Scrim TDs,Scrim TDs/GP,SCRIM YDs/ Play,Fantasy Points,Exp Points,FPOE,PPR PPG,PPG Rank,FP/ Touch,PPR Rank
Ezekiel Elliott,DAL,RB,2016,9,378,390,282,680,"2,953",536,78.8%,59.6,-,71.3%,168.1,18.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,150,16.7,572,63.6,5,0.56,3.3%,114.4,3.8,42,4.7,1,22.6%,11,4,36,4.0,51,5.7,13.5%,4,71%,237,26.3,1.0,238,26.4,6.6,4.7,-0.6,1,0.111,2.8%,238.0,0.61,-32,-3.6,-1.1%,0.19,-7.44,255,28.3,186,20.7,810,90.0,6,0.67,1.19,145.0,179.7,-24.7,16.1,10,0.8,5
Frank Gore,NYJ,RB,2005,9,278,295,230,562,"2,364",223,39.7%,24.8,-,51.7%,80.1,8.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,108,12.0,386,42.9,0,0.00,0.0%,-,3.6,13,1.4,0,11.2%,0,0,8,0.9,11,1.2,4.0%,1,73%,62,6.9,0.8,48,5.3,6.0,4.4,3.1,0,0.000,0.0%,-,0.16,34,3.8,1.4%,0.07,1.41,24,2.7,116,12.9,434,48.2,0,0.00,0.77,51.4,66.2,-14.8,5.7,67,0.4,49
Gabriel Davis,BUF,WR,2020,9,312,319,211,596,"2,607",389,65.3%,43.2,42.4%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.1,0,0.0,0,0.00,0.0%,-,0.0,-,-,-,-,-,0,19,2.1,28,3.1,9.0%,4,68%,204,22.7,1.3,275,30.6,14.5,9.8,13.7,3,0.333,15.8%,91.7,0.86,384,42.7,14.7%,0.24,0.72,45,5.0,20,2.2,275,30.6,3,0.33,0.46,64.5,45.2,19.3,7.2,90,3.2,69
Gardner Minshew,JAC,QB,2019,7,253,267,176,461,"2,048",461,100.0%,65.9,-,-,-,-,176,25.1,267,38.1,1855,265.0,13,1.9,5,0.7,65.9%,71.1%,41.4%,4.9%,142.7,2.6,6.9,7.1,2044,292.0,2044,292.0,7.7,94.4,54.4,3.1,25,3.6,122,17.4,1,0.14,4.0%,-,-,-,-,-,-,-,3,1,0.1,1,0.1,0.4%,-,100%,-,-,-,0,0.0,0.0,0.0,-8.0,0,0.000,0.0%,-,0.00,-8,-1.1,-0.4%,0.00,0.00,8,-,-,-,-,-,-,-,-,129.4,147.4,8.3,18.5,18,-,22
Garrett Gilbert,DAL,QB,2014,1,37,38,33,72,348,72,100.0%,72.0,-,-,-,-,21,21.0,38,38.0,243,243.0,1,1.0,1,1.0,55.3%,-,-,2.6%,243.0,1.0,6.4,5.7,348,348.0,348,348.0,9.2,-,#N/A,-,3,3.0,28,28.0,0,0.00,0.0%,-,-,-,-,-,-,-,0,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,14.5,0.0,0.0,14.5,27,-,42
George Kittle,SF,TE,2017,6,207,212,205,408,"1,391",374,91.7%,62.3,17.0%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,2,0.3,17,2.8,0,0.00,0.0%,-,8.5,-,-,-,-,-,0,37,6.2,49,8.2,23.7%,4,76%,171,28.5,2.8,474,79.0,12.8,9.7,6.9,2,0.333,5.4%,237.0,2.24,336,56.0,24.2%,0.52,1.41,220,36.7,39,6.5,491,81.8,2,0.33,1.20,98.1,85.7,12.4,16.4,2,2.5,4
Gerald Everett,LAR,TE,2017,8,272,284,264,563,"2,025",334,59.3%,41.8,7.6%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.1,2,0.3,1,0.13,100.0%,2.0,2.0,-,-,-,-,-,1,25,3.1,36,4.5,13.2%,1,69%,107,13.4,2.4,260,32.5,10.4,7.2,4.2,1,0.125,4.0%,260.0,0.92,152,19.0,7.5%,0.25,1.71,128,16.0,26,3.3,262,32.8,2,0.25,0.47,61.2,56.5,6.7,7.7,29,2.4,20
Giovani Bernard,CIN,RB,2013,8,321,331,239,595,"2,688",248,41.7%,31.0,-,28.9%,69.3,8.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,40,5.0,143,17.9,2,0.25,5.0%,71.5,3.6,6,0.8,0,9.4%,1,0,24,3.0,29,3.6,9.0%,6,83%,117,14.6,1.6,190,23.8,7.9,6.6,0.1,2,0.250,8.3%,95.0,0.57,2,0.3,0.1%,0.14,95.00,194,24.3,64,8.0,333,41.6,4,0.50,0.56,81.3,74.8,6.5,10.2,35,1.3,31
Golden Tate,NYG,WR,2010,7,220,232,168,435,"1,586",275,63.2%,39.3,83.3%,-,-,-,1,0.1,1,0.1,18,2.6,0,0.0,0,0.0,-,-,-,0.0%,-,-,18.0,18.0,-5,-0.7,-5,-0.7,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,22,3.1,29,4.1,13.2%,3,76%,180,25.7,1.3,226,32.3,10.3,7.8,6.9,2,0.286,9.1%,113.0,0.97,200,28.6,12.6%,0.29,1.13,61,8.7,22,3.1,226,32.3,2,0.29,0.52,57.3,48.0,9.5,8.2,80,2.6,75
Greg Olsen,SEA,TE,2007,8,285,297,211,535,"2,654",329,61.5%,41.1,40.0%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,19,2.4,29,3.6,10.2%,7,66%,185,23.1,0.9,171,21.4,9.0,5.9,7.7,1,0.125,5.3%,171.0,0.58,222,27.8,8.4%,0.21,0.77,25,3.1,19,2.4,171,21.4,1,0.13,0.32,42.1,51.5,-9.4,5.3,33,2.2,27
Greg Ward,PHI,WR,2017,8,295,307,195,567,"2,790",402,70.9%,50.3,78.0%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,2,0.3,-4,-0.5,0,0.00,0.00%,-,-2.0,-,-,-,-,-,0,32,4.0,45,5.6,15.3%,5,71%,249,31.1,1.0,243,30.4,7.6,5.4,5.6,3,0.375,9.4%,81.0,0.79,254,31.8,9.1%,0.29,0.96,87,10.9,34,4.3,239,29.9,3,0.38,0.42,73.9,75.4,0.5,9.2,65,2.2,59
Gus Edwards,BAL,RB,2018,8,208,216,216,519,"1,877",177,34.1%,22.1,-,37.5%,53.0,6.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,75,9.4,328,41.0,3,0.38,4.0%,109.3,4.4,10,1.3,4,13.0%,1,1,2,0.3,6,0.8,2.9%,0,33%,36,4.5,0.3,11,1.4,5.5,1.8,0.8,0,0.000,0.0%,-,0.05,5,0.6,0.3%,0.05,2.20,0,0.0,77,9.6,339,42.4,3,0.38,0.65,51.9,56.9,-2.9,6.5,62,0.7,48
Harrison Bryant,CLE,TE,2020,8,222,236,250,500,"1,862",282,56.4%,35.3,17.6%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,1,15,1.9,21,2.6,9.5%,3,71%,98,12.3,1.5,151,18.9,10.1,7.2,7.0,3,0.375,20.0%,50.3,0.64,148,18.5,7.9%,0.20,1.02,84,10.5,15,1.9,151,18.9,3,0.38,0.30,46.1,38.7,9.4,5.8,32,3.1,26
Hayden Hurst,ATL,TE,2018,9,342,352,293,653,"3,061",451,69.1%,50.1,32.2%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,37,4.1,54,6.0,15.8%,4,69%,267,29.7,1.5,411,45.7,11.1,7.6,7.4,3,0.333,8.1%,137.0,1.17,401,44.6,13.1%,0.33,1.02,171,19.0,37,4.1,411,45.7,3,0.33,0.63,96.1,85.7,10.4,10.7,9,2.6,5
Henry Ruggs,LV,WR,2020,6,173,182,222,400,"1,439",278,69.5%,46.3,29.4%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,5,0.8,32,5.3,0,0.00,0.0%,-,6.4,-,-,-,-,-,0,10,1.7,21,3.5,12.1%,1,48%,120,20.0,1.8,220,36.7,22.0,10.5,19.8,1,0.167,10.0%,220.0,1.21,415,69.2,28.8%,0.38,0.53,97,16.2,15,2.5,252,42.0,1,0.17,0.63,41.2,37.0,4.2,6.9,94,2.7,94
Hunter Henry,LAC,TE,2016,8,289,301,289,588,"2,381",535,91.0%,66.9,25.5%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,33,4.1,52,6.5,18.0%,4,63%,218,27.3,1.6,357,44.6,10.8,6.9,7.6,1,0.125,3.0%,357.0,1.19,394,49.3,16.5%,0.39,0.91,152,19.0,33,4.1,357,44.6,1,0.13,0.61,74.7,81.2,-6.5,9.3,14,2.3,14
Hunter Renfrow,LV,WR,2019,8,248,258,278,533,"1,958",262,49.2%,32.8,68.1%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,27,3.4,36,4.5,14.5%,5,75%,150,18.8,2.5,369,46.1,13.7,10.3,9.3,2,0.250,7.4%,184.5,1.43,335,41.9,17.1%,0.34,1.10,149,18.6,27,3.4,369,46.1,2,0.25,0.69,75.9,59.7,16.2,9.5,59,2.8,56
Ian Thomas,CAR,TE,2018,9,297,312,266,584,"2,137",384,65.8%,42.7,28.7%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,11,1.2,17,1.9,5.7%,3,65%,176,19.6,0.5,86,9.6,7.8,5.1,6.6,1,0.111,9.1%,86.0,0.28,112,12.4,5.2%,0.12,0.77,38,4.2,11,1.2,86,9.6,1,0.11,0.15,25.6,28.3,-2.7,2.8,45,2.3,42
Irv Smith,MIN,TE,2019,8,202,209,258,490,"1,933",309,63.1%,38.6,13.4%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,13,1.6,21,2.6,10.4%,4,62%,136,17.0,1.2,159,19.9,12.2,7.6,7.7,2,0.250,15.4%,79.5,0.76,161,20.1,8.3%,0.21,0.99,46,5.8,13,1.6,159,19.9,2,0.25,0.32,40.9,40.9,2.0,5.1,34,3.1,28
Isaiah Ford,MIA,WR,2017,7,219,221,200,441,"1,672",225,51.0%,32.1,88.1%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,18,2.6,28,4.0,12.8%,2,64%,163,23.3,1.1,184,26.3,10.2,6.6,8.3,0,0.000,0.0%,-,0.83,231,33.0,13.8%,0.29,0.80,50,7.1,18,2.6,184,26.3,0,0.00,0.42,36.4,45.1,-8.7,5.2,105,2.0,100
Isaiah McKenzie,BUF,WR,2017,9,312,319,211,596,"2,607",116,19.5%,12.9,59.4%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,5,0.6,5,0.6,0,0.00,0.0%,-,1.0,-,-,-,-,-,0,15,1.7,16,1.8,5.1%,3,94%,59,6.6,2.3,138,15.3,9.2,8.6,1.7,2,0.222,13.3%,69.0,0.43,27,3.0,1.0%,0.08,5.11,110,12.2,20,2.2,143,15.9,2,0.22,0.24,41.3,34.5,6.8,4.6,113,2.1,93
Isaiah Wright,WAS,WR,2020,5,187,193,145,317,986,202,63.7%,40.4,70.2%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,3,0.6,16,3.2,0,0.00,0.0%,-,5.3,-,-,-,-,-,1,16,3.2,20,4.0,10.7%,2,80%,125,25.0,0.8,102,20.4,6.4,5.1,3.5,0,0.000,0.0%,-,0.53,70,14.0,7.1%,0.21,1.46,58,11.6,19,3.8,118,23.6,0,0.00,0.37,25.8,35.8,-8.0,5.2,106,1.4,113
Ito Smith,ATL,RB,2018,7,277,287,227,512,"2,453",76,14.8%,10.9,-,10.1%,23.4,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,13,1.9,41,5.9,0,0.00,0.0%,-,3.2,2,0.3,0,10.0%,1,0,7,1.0,10,1.4,3.6%,3,70%,49,7.0,0.9,43,6.1,6.1,4.3,0.7,0,0.000,0.0%,-,0.15,7,1.0,0.3%,0.06,6.14,40,5.7,20,2.9,84,12.0,0,0.00,0.16,15.4,23.6,-8.2,2.2,94,0.8,87
Jace Sternberger,GB,TE,2019,8,268,280,277,542,"2,269",148,27.3%,18.5,7.0%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,8,1.0,11,1.4,4.1%,1,73%,36,4.5,2.4,86,10.8,10.8,7.8,8.7,1,0.125,12.5%,86.0,0.31,96,12.0,4.2%,0.09,0.90,45,5.6,8,1.0,86,10.8,1,0.13,0.16,22.6,18.7,3.9,2.8,46,2.8,45
Jack Doyle,IND,TE,2013,6,222,230,201,410,"1,672",271,66.1%,45.2,18.0%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,1,9,1.5,15,2.5,6.8%,4,60%,93,15.5,1.2,108,18.0,12.0,7.2,7.7,2,0.333,22.2%,54.0,0.47,115,19.2,6.9%,0.15,0.94,38,6.3,9,1.5,108,18.0,2,0.33,0.26,29.8,33.0,-1.2,5.0,36,3.3,39
Jacob Hollister,SEA,TE,2017,8,285,297,211,535,"2,654",128,23.9%,16.0,22.0%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,11,1.4,15,1.9,5.3%,2,73%,34,4.3,2.9,98,12.3,8.9,6.5,5.2,1,0.125,9.1%,98.0,0.33,78,9.8,2.9%,0.10,1.26,27,3.4,11,1.4,98,12.3,1,0.13,0.18,26.8,29.8,-1.0,3.4,43,2.4,41
Jake Luton,JAC,QB,2020,1,38,38,32,69,323,69,100.0%,69.0,-,-,-,-,26,26.0,38,38.0,304,304.0,1,1.0,1,1.0,68.4%,-,-,2.6%,304.0,1.0,8.0,7.3,323,323.0,323,323.0,8.5,-,#N/A,-,1,1.0,13,13.0,1,1.00,100.0%,-,-,-,-,-,-,-,0,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,21.5,0.0,0.0,21.5,9,-,40
Jakeem Grant,MIA,WR,2016,8,245,249,219,502,"1,901",158,31.5%,19.8,19.7%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,2,0.3,17,2.1,0,0.00,0.0%,-,8.5,-,-,-,-,-,0,18,2.3,24,3.0,9.8%,0,75%,97,12.1,1.9,186,23.3,10.3,7.8,7.8,0,0.000,0.0%,-,0.75,188,23.5,9.9%,0.22,0.99,44,5.5,20,2.5,203,25.4,0,0.00,0.40,38.3,41.2,3.1,4.8,110,1.9,98
Jakobi Meyers,NE,WR,2019,6,169,176,188,403,"1,213",207,51.4%,34.5,37.4%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.2,2,0.3,0,0.00,0.0%,-,2.0,-,-,-,-,-,0,23,3.8,31,5.2,18.3%,0,74%,59,9.8,5.0,294,49.0,12.8,9.5,12.9,0,0.000,0.0%,-,1.67,401,66.8,33.1%,0.51,0.73,14,2.3,24,4.0,296,49.3,0,0.00,0.73,52.6,49.3,5.3,8.8,70,2.2,84
Jalen Guyton,LAC,WR,2019,8,289,301,289,588,"2,381",463,78.7%,57.9,35.7%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.1,-4,-0.5,0,0.00,0.0%,-,-4.0,-,-,-,-,-,0,10,1.3,19,2.4,6.6%,2,53%,220,27.5,1.2,270,33.8,27.0,14.2,23.1,3,0.375,30.0%,90.0,0.90,439,54.9,18.4%,0.23,0.62,94,11.8,11,1.4,266,33.3,3,0.38,0.45,54.6,30.2,24.4,6.8,95,5.0,81
Jalen Reagor,PHI,WR,2020,3,109,113,79,202,"1,099",146,72.3%,48.7,6.3%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.3,6,2.0,0,0.00,0.0%,-,6.0,-,-,-,-,-,0,8,2.7,14,4.7,12.8%,1,57%,90,30.0,1.2,112,37.3,14.0,8.0,18.6,1,0.333,12.5%,112.0,0.99,260,86.7,23.7%,0.36,0.43,35,11.7,9,3.0,118,39.3,1,0.33,0.58,25.8,24.7,3.1,8.6,74,2.9,114
Jalen Richard,LV,RB,2016,8,248,258,278,533,"1,958",114,21.4%,14.3,-,10.4%,32.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,14,1.8,83,10.4,1,0.13,7.1%,83.0,5.9,6,0.8,1,23.1%,0,0,12,1.5,15,1.9,6.0%,4,80%,59,7.4,1.5,90,11.3,7.5,6.0,1.9,0,0.000,0.0%,-,0.35,29,3.6,1.5%,0.10,3.10,54,6.8,26,3.3,173,21.6,1,0.13,0.32,35.3,29.0,6.3,4.4,76,1.4,67
Jamaal Williams,GB,RB,2017,7,238,249,238,476,"2,045",268,56.3%,38.3,-,39.1%,79.2,11.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,68,9.7,294,42.0,1,0.14,1.5%,294.0,4.3,11,1.6,2,12.1%,5,0,23,3.3,25,3.6,10.5%,2,92%,130,18.6,1.4,183,26.1,8.0,7.3,0.5,0,0.000,0.0%,-,0.73,13,1.9,0.6%,0.16,14.08,166,23.7,91,13.0,477,68.1,1,0.14,1.00,76.7,87.1,-6.4,11.0,32,0.8,33
James Conner,PIT,RB,2017,8,290,292,236,550,"1,957",337,61.3%,42.1,-,61.0%,108.8,13.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,119,14.9,520,65.0,5,0.63,4.2%,104.0,4.4,34,4.3,5,24.5%,7,0,20,2.5,25,3.1,8.6%,4,80%,118,14.8,1.0,123,15.4,6.2,4.9,0.3,0,0.000,0.0%,-,0.42,8,1.0,0.4%,0.13,15.38,125,15.6,139,17.4,643,80.4,5,0.63,1.17,114.3,115.7,-1.4,14.3,17,0.8,12
James O'Shaughnessy,JAC,TE,2015,8,291,305,208,530,"2,371",275,51.9%,34.4,20.6%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,16,2.0,20,2.5,6.9%,1,80%,113,14.1,1.4,156,19.5,9.8,7.8,7.4,0,0.000,0.0%,-,0.51,147,18.4,6.2%,0.15,1.06,45,5.6,16,2.0,156,19.5,0,0.00,0.29,31.6,31.4,0.2,4.0,40,2.0,37
James Robinson,JAC,RB,2020,8,291,305,208,530,"2,371",348,65.7%,43.5,-,79.8%,130.6,16.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,132,16.5,580,72.5,5,0.63,3.8%,116.0,4.4,32,4.0,3,20.1%,1,1,27,3.4,34,4.3,11.7%,4,79%,121,15.1,1.9,225,28.1,8.3,6.6,-1.2,2,0.250,7.4%,112.5,0.74,-40,-5.0,-1.7%,0.16,-5.63,255,31.9,159,19.9,805,100.6,7,0.88,1.52,147.5,122.9,28.6,18.4,6,0.9,4
James Washington,PIT,WR,2018,8,290,292,236,550,"1,957",254,46.2%,31.8,7.1%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,18,2.3,30,3.8,10.3%,3,60%,141,17.6,1.4,202,25.3,11.2,6.7,9.5,3,0.375,16.7%,67.3,0.69,286,35.8,14.6%,0.26,0.71,68,8.5,18,2.3,202,25.3,3,0.38,0.37,56.2,49.8,6.4,7.0,91,3.1,77
James White,NE,RB,2014,6,160,168,189,394,"1,176",152,38.6%,25.3,-,24.3%,57.0,9.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,16,2.7,51,8.5,0,0.00,0.0%,-,3.2,5,0.8,0,12.2%,0,0,25,4.2,30,5.0,18.8%,2,83%,67,11.2,2.9,195,32.5,7.8,6.5,-1.3,0,0.000,0.0%,-,1.16,-38,-6.3,-3.2%,0.26,-5.13,199,33.2,41,6.8,246,41.0,0,0.00,0.62,49.6,51.2,-1.6,8.3,48,1.2,50
Jamison Crowder,NYJ,WR,2015,5,170,181,118,319,"1,737",259,81.2%,51.8,73.4%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,31,6.2,48,9.6,28.2%,3,65%,162,32.4,2.5,409,81.8,13.2,8.5,8.7,3,0.600,9.7%,136.3,2.26,419,83.8,24.1%,0.59,0.98,186,37.2,31,6.2,409,81.8,3,0.60,1.28,89.9,78.3,11.6,18.0,11,2.9,37
JaMycal Hasty,SF,RB,2020,7,244,250,230,480,"1,657",82,17.1%,11.7,-,18.3%,30.4,4.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,36,5.1,135,19.3,1,0.14,2.8%,135.0,3.8,7,1.0,1,17.1%,2,0,5,0.7,6,0.9,2.5%,0,83%,21,3.0,1.8,37,5.3,7.4,6.2,0.0,0,0.000,0.0%,-,0.15,0,0.0,0.0%,0.04,-,0,0.0,41,5.9,172,24.6,1,0.14,0.36,28.2,31.6,-3.4,4.0,81,0.7,72
Jared Cook,NO,TE,2009,7,260,264,245,482,"1,354",245,50.8%,35.0,25.5%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,1,21,3.0,32,4.6,12.3%,7,66%,148,21.1,1.9,279,39.9,13.3,8.7,10.1,4,0.571,19.0%,69.8,1.06,322,46.0,23.8%,0.35,0.87,51,7.3,21,3.0,279,39.9,4,0.57,0.58,70.9,55.6,17.3,10.1,12,3.4,16
Jared Goff,LAR,QB,2016,8,272,284,264,563,"2,025",658,116.9%,82.3,-,-,-,-,221,27.6,345,43.1,2490,311.3,14,1.8,8,1.0,64.1%,72.1%,31.0%,4.1%,177.9,1.8,7.2,7.0,2042,255.3,2042,255.3,5.9,89.4,59.9,0.7,24,3.0,40,5.0,2,0.25,8.3%,-,-,-,-,-,-,-,4,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,147.6,175.0,7.7,18.5,19,-,15
Jarrett Stidham,NE,QB,2019,2,57,62,62,127,497,45,35.4%,22.5,-,-,-,-,11,5.5,23,11.5,124,62.0,1,0.5,3,1.5,47.8%,-,-,4.3%,124.0,0.3,5.4,0.4,134,67.0,134,67.0,5.8,39.3,-,-13.0,4,2.0,6,3.0,0,0.00,0.0%,-,-,-,-,-,-,-,0,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,3.6,14.5,-9.7,1.8,49,-,48
Jarvis Landry,CLE,WR,2014,8,222,236,250,500,"1,862",367,73.4%,45.9,47.2%,-,-,-,2,0.3,2,0.3,56,7.0,1,0.1,0,0.0,-,-,-,50.0%,-,-,28.0,38.0,56,7.0,56,7.0,-,-,-,-,2,0.3,4,0.5,0,0.00,0.0%,-,2.0,-,-,-,-,-,0,33,4.1,50,6.3,22.5%,5,66%,199,24.9,2.1,416,52.0,12.6,8.3,8.9,0,0.000,0.0%,-,1.76,447,55.9,24.0%,0.51,0.93,152,19.0,35,4.4,420,52.5,0,0.00,0.84,81.2,85.0,-3.2,10.2,54,2.3,48
